Genre,Name,Year,Rating,Rating amount
action,LEGO Marvel Avengers: Czerwony alarm,2023,5.4,922
action,Kampon,2023,4.8,91
action,Invasie,2024,5.0,176
action,Virupaksha,2023,7.2,6.2K
action,Shekko,2024,6.3,59
action,Ciężkie dni,2023,6.1,739
action,Malaikottai Vaaliban,2024,6.2,3.7K
action,Tokyo Revengers 2,2023,6.2,459
action,Mo Si Ke xing dong,2023,5.7,629
action,Półtora dnia,2023,5.8,3.1K
action,Bad Business,2024,8.5,33
action,Daredevil: The First Defender,2023,8.0,15
action,The Squad,2023,2.9,443
action,Gold Raiders,2024,7.8,15
action,Młodzi mordercy 2,2023,6.5,669
action,#Models Wanted,2024,N/A,N/A
action,Ponniyin Selvan: Part Two,2023,7.3,18K
action,Tiger Nageswara Rao,2023,6.0,3.7K
action,Murder City,2023,5.0,156
action,Polis Evo 3,2023,7.0,335
action,Pemukiman Setan,2023,7.6,98
action,Pippa,2023,6.2,2.5K
action,Hwasahan geunyeo,2023,5.8,54
action,Uncharted: The Oxus Redemption,2023,7.3,23
action,Us or Them,2023,4.1,246
action,Maaveeran,2023,7.4,9.3K
action,IB 71,2023,7.2,10K
action,Paradise,2024,7.5,40
action,Lassie - Ein neues Abenteuer,2023,5.7,210
action,Jericho Ridge,2023,6.1,799
action,Shin Jigen! Crayon Shin-chan the Movie Chonoryoku Dai Kessen: Tobetobe Temakizushi,2023,6.6,373
action,Geugjangpan Syupeo Wingseu: Maegsimeom Seupideu,2023,7.0,65
action,Kitty the Killer,2023,5.0,117
action,Snag: Chapter One,2023,4.0,469
action,Niewidzialna walka,2023,6.0,429
action,O Sequestro do Voo 375,2023,7.3,1.2K
action,Sentinelle,2023,5.1,1.5K
action,Hunting Games,2023,3.5,208
action,Dasara,2023,6.6,11K
action,Secret Society 3: 'Til Death,2023,3.5,155
action,Run Baby Run,2023,6.3,1.5K
action,Sons of Summer,2023,4.4,2.5K
action,W skórze mojej matki,2023,5.4,687
action,The Last Deal,2023,5.1,1.8K
action,Ship of the Damned,2024,5.5,14
action,Dr,2024,8.8,46
action,Agent,2023,4.1,1.3K
action,Snow White and the Seven Samurai,2024,7.1,15
action,Sayen: La ruta seca,2023,4.3,227
action,Mojave Diamonds,2023,2.9,367
action,Zabójca: Ostatnia misja,2023,5.4,446
action,Uciekające królowe,2023,4.6,960
action,Reloaded 2,2024,8.6,629
action,Vaathi,2023,7.3,10K
action,Chopper,2024,N/A,N/A
action,Customs Frontline,2024,6.4,12
action,Bratri,2023,6.7,328
action,Assassin's Fury,2023,N/A,N/A
action,Fighting the Fire,2024,9.7,57
action,Leader: Amie Bangladesh,2023,7.8,2.5K
action,Digimon Adventure 02: The Beginning,2023,6.3,376
action,Waltair Veerayya,2023,6.2,7.6K
action,Team of Two,2024,N/A,N/A
action,Gang z Paryża,2023,5.3,675
action,Lat Mat 6: Tam Ve Dinh Menh,2023,6.4,249
action,The Tomorrow Job,2023,4.7,1.3K
action,Ape X Mecha Ape: New World Order,2024,3.9,21
action,Thunivu,2023,6.1,29K
action,Fryzjerka mafii,2023,5.7,685
action,Késárí the King,2023,9.4,78
action,Bubblegum,2023,6.3,2.3K
action,Thundu,2024,5.1,709
action,Pendekar Awang: Darah Indera Gajah,2024,4.7,355
action,The Alexandrian,2024,4.1,116
action,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,2023,6.2,252
action,Spider-Man: Blue,2024,N/A,N/A
action,Maksymalne obciążenie,2023,4.8,840
action,Target List,2023,7.1,782
action,Güven Bana,2023,4.6,240
action,Tales of Babylon,2023,4.1,2.6K
action,Misja Phoenix,2023,4.4,106
action,Tommy: A Power Rangers Story,2023,7.4,27
action,Rudhran,2023,5.1,992
action,Antigang: La relève,2023,5.4,721
action,The Circuit 4: Faith Fighter,2024,N/A,N/A
action,Mark Antony,2023,6.7,5.4K
action,Por,2024,5.0,503
action,Osaczona,2023,5.2,1K
